id;libelle;code
1;target infrastructures Small Cotton Sausages;multimedia architectures quantify
2;Baby Granite application;Comoro Franc
3;Turnpike;Implemented connect
4;Georgia;Wall Investment Account
5;Beauty Music;CSS hacking Gorgeous Concrete Bacon
6;actuating compress;fuchsia
7;pricing structure green Fantastic;Dynamic
8;Multi-lateral Brunei Dollar;Central multi-tasking
9;copying Intranet e-commerce;Movies gold calculating
10;firewall Buckinghamshire Uganda Shilling;mission-critical Japan Nuevo Sol
